업체명,주소
서울특별시청,서울 중구 태평로1가 31
부산광역시청,부산 연제구 연산동 1000
강서구청,서울 강서구 화곡동 980-16
제주시청,제주특별자치도 제주시 이도이동 1176-1
화성시청,경기 화성시 남양읍 남양리 2000
김해시청,경남 김해시 부원동 623
수원지방법원,경기 수원시 영통구 하동 990
수원시청,경기 수원시 팔달구 인계동 1111
천안시청,충남 천안시 서북구 불당동 234-1
충주시청,충북 충주시 금릉동 700
부천시청,경기 부천시 중동 1156
시흥시청,경기 시흥시 장현동 300
서울중앙지방법원,서울 서초구 서초동 1701-1
강남구청,서울 강남구 삼성동 16-1
세종특별자치시청,세종특별자치시 보람동 626-5
